Country/Region,Lat,Long
Afghanistan,33.7680065,66.2385139
Albania,41.000028,19.9999619
Algeria,28.000027199999998,2.9999825
Andorra,42.540716700000004,1.5732033
Angola,-11.877576800000002,17.5691241
Antigua and Barbuda,17.223472100000002,-61.9554608
Argentina,-34.9964963,-64.9672817
Armenia,40.7696272,44.6736646
Australia,-24.7761086,134.755
Austria,47.2000338,13.199959
Azerbaijan,40.3936294,47.787250799999995
Bahamas,24.7736546,-78.0000547
Bahrain,26.155124899999997,50.5344606
Bangladesh,24.4768783,90.2932426
Barbados,13.1500331,-59.52503050000001
Belarus,53.4250605,27.6971358
Belgium,50.6402809,4.666714499999999
Belize,16.8259793,-88.7600927
Benin,9.5293472,2.2584408
Bhutan,27.549511,90.5119273
Bolivia,-17.056869600000002,-64.9912286
Bosnia and Herzegovina,44.30534760000001,17.596146700000006
Botswana,-23.1681782,24.5928742
Brazil,-10.333333300000001,-53.2
Brunei,4.4137154999999995,114.5653908
Bulgaria,42.6073975,25.4856617
Burkina Faso,12.075308300000001,-1.6880313999999998
Burma,17.1750495,95.9999652
Burundi,-3.3634357,29.8870575
Cabo Verde,16.0000552,-24.0083947
Cambodia,13.5066394,104.869423
Cameroon,4.6125522000000005,13.153581099999998
Canada,61.0666922,-107.9917071
Central African Republic,7.0323598,19.9981227
Chad,15.613413699999999,19.015617199999998
Chile,-31.7613365,-71.3187697
China,35.000074,104.999927
Colombia,2.8894433999999998,-73.78389200000002
Congo (Brazzaville),-0.7264326999999999,15.6419155
Congo (Kinshasa),-2.9814344,23.82226360000001
Costa Rica,10.2735633,-84.0739102
Cote d'Ivoire,7.9897371,-5.5679457999999995
Croatia,45.5643442,17.0118954
Cuba,23.013133800000002,-80.8328748
Cyprus,34.982301799999995,33.1451285
Czechia,49.816700299999994,15.4749544
Denmark,55.670249,10.333328300000002
Diamond Princess,53.895358400000006,27.555407799999998
Djibouti,11.8145966,42.8453061
Dominica,19.0974031,-70.30280259999999
Dominican Republic,19.0974031,-70.30280259999999
Ecuador,-1.3397668,-79.3666965
Egypt,26.254049300000002,29.2675469
El Salvador,13.800038199999998,-88.9140683
Equatorial Guinea,1.6131719999999998,10.5170357
Eritrea,15.950031900000004,37.999966799999996
Estonia,58.75237779999999,25.3319078
Eswatini,-26.562480600000004,31.399131699999998
Ethiopia,10.211670199999999,38.6521203
Fiji,-18.123969600000002,179.0122737
Finland,63.2467777,25.9209164
France,46.603353999999996,1.8883334999999999
Gabon,-0.8999695,11.689969900000001
Gambia,13.470061999999999,-15.4900464
Georgia,32.329380900000004,-83.1137366
Germany,51.0834196,10.4234469
Ghana,8.0300284,-1.0800271000000001
Greece,38.995368299999996,21.987713199999998
Grenada,12.136037400000001,-61.69040450000001
Guatemala,15.635608800000002,-89.8988087
Guinea,10.7226226,-10.7083587
Guinea-Bissau,12.100035,-14.9000214
Guyana,4.8417097,-58.64168910000001
Haiti,19.139995199999998,-72.35709720000001
Holy See,38.9247244,-77.06572733
Honduras,15.2572432,-86.0755145
Hungary,47.1817585,19.5060937
Iceland,64.9841821,-18.1059013
India,22.3511148,78.6677428
Indonesia,-2.4833826,117.89028529999999
Iran,32.6475314,54.56435160000001
Iraq,33.0955793,44.174977500000004
Ireland,52.865196,-7.9794599
Israel,31.531311300000002,34.8667654
Italy,42.6384261,12.674297
Jamaica,18.115295800000002,-77.15984546
Japan,36.5748441,139.2394179
Jordan,31.1667049,36.941628
Kazakhstan,47.2286086,65.20931970000001
Kenya,1.4419683,38.431397499999996
"Korea, South",35.7724185,127.7965435
Kosovo,42.5869578,20.902123100000004
Kuwait,29.2733964,47.4979476
Kyrgyzstan,41.5089324,74.724091
Laos,20.0171109,103.378253
Latvia,56.8406494,24.7537645
Lebanon,33.875062899999996,35.843409
Liberia,5.7499721,-9.3658524
Libya,26.8234472,18.1236723
Liechtenstein,47.1416307,9.553152699999998
Lithuania,55.35000030000001,23.7499997
Luxembourg,49.8158683,6.1296751
MS Zaandam,52.4387696,4.8185293
Madagascar,-18.9249604,46.441642200000004
Malaysia,4.5693754,102.2656823
Maldives,4.7064352,73.3287853
Mali,16.3700359,-2.2900238999999996
Malta,35.888599299999996,14.4476911
Mauritania,20.254038199999997,-9.2399263
Mauritius,-20.2759451,57.5703566
Mexico,19.4326296,-99.1331785
Moldova,47.28796079999999,28.5670941
Monaco,43.7323492,7.4276832
Mongolia,46.825038799999994,103.8499736
Montenegro,42.9868853,19.518099199999998
Morocco,31.1728205,-7.3362482
Mozambique,-19.302232999999998,34.9144977
Namibia,-23.2335499,17.323110699999994
Nepal,28.108392900000002,84.0917139
Netherlands,52.500169799999995,5.7480820999999995
New Zealand,-41.5000831,172.83440769999999
Nicaragua,12.609015699999999,-85.29369109999998
Niger,17.7356214,9.323843199999999
Nigeria,9.6000359,7.999972099999999
North Macedonia,41.617121399999995,21.7168387
Norway,64.5731537,11.52803644
Oman,21.000028699999998,57.00369010000001
Pakistan,30.3308401,71.247499
Panama,8.559559,-81.1308434
Papua New Guinea,-5.6816069,144.2489081
Paraguay,-23.3165935,-58.169344499999994
Peru,-6.8699697,-75.0458515
Philippines,12.750348599999999,122.7312101
Poland,52.215933,19.134422
Portugal,40.0332629,-7.889626299999999
Qatar,25.3336984,51.2295295
Romania,45.98521289999999,24.6859225
Russia,64.6863136,97.7453061
Rwanda,-1.9646631,30.064435800000002
Saint Kitts and Nevis,17.250512,-62.6725973
Saint Lucia,13.8250489,-60.975035999999996
Saint Vincent and the Grenadines,12.90447,-61.2765569
San Marino,43.945862299999995,12.458306
Saudi Arabia,25.62426180000001,42.352832799999995
Senegal,14.475060699999998,-14.452961199999999
Serbia,44.02432285,21.07657433
Seychelles,-4.6574976999999995,55.45401460000001
Sierra Leone,8.6400349,-11.8400269
Singapore,1.357107,103.81949920000001
Slovakia,48.74115220000001,19.4528646
Slovenia,45.813311299999995,14.4808369
Somalia,8.3676771,49.083416
South Africa,-28.816623600000003,24.99163900000001
Spain,39.3262345,-4.838064900000001
Sri Lanka,7.555494199999999,80.7137847
Sudan,14.584444400000002,29.4917691
Suriname,4.1413025,-56.07711870000001
Sweden,59.67497120000001,14.5208584
Switzerland,46.7985624,8.231973599999998
Syria,34.6401861,39.0494106
Taiwan*,23.973937399999997,120.9820179
Tanzania,-6.5247123,35.7878438
Thailand,14.8971921,100.83273
Timor-Leste,-8.5151979,125.83757560000001
Togo,8.7800265,1.0199764999999998
Trinidad and Tobago,10.8677845,-60.9821067
Tunisia,33.8439408,9.400138
Turkey,38.959759399999996,34.9249653
US,39.7837304,-100.4458825
Uganda,1.5333553999999998,32.2166578
Ukraine,49.4871968,31.2718321
United Arab Emirates,24.0002488,53.999482900000004
United Kingdom,54.70235450000001,-3.2765752999999997
Uruguay,-32.8755548,-56.0201525
Uzbekistan,41.32373,63.9528098
Venezuela,8.0018709,-66.1109318
Vietnam,13.2904027,108.42651129999999
West Bank and Gaza,31.4331663,34.377928499999996
Zambia,-14.5186239,27.5599164
Zimbabwe,-18.4554963,29.746841399999997
Malawi,-13.2687204,33.9301963
Western Sahara,24.1797324,-13.7667848
South Sudan,7.869943099999999,29.6667897
Sao Tome and Principe,0.8875497999999999,6.964871799999999
Yemen,16.3471243,47.8915271
Comoros,-12.204517599999999,44.2832964
Tajikistan,38.62817329999999,70.8156541
Lesotho,-29.6039267,28.33501930000001
